Benchmarks,system.cpu.cpi,system.cpu.dcache.overall_miss_rate::total,system.cpu.icache.overall_miss_rate::total,system.l2.overall_miss_rate::total
specbzip,1.852581,0.018283,0.000087,0.427357
specbzipassoc1,1.658991,0.017745,0.00009,0.257864
specbzipassoc2,1.615363,0.014671,0.000077,0.292734
specbzipassoc4,1.594403,0.013208,0.00007,0.315944
specbzipassoc8,1.588833,0.012613,0.00007,0.332254
specbzipassoc16,1.586315,0.01228,0.00007,0.343324
specbzipCLine16,2.111404,0.02405,0.000097,0.584866
specbzipCLine32,1.852581,0.018283,0.000087,0.427357
specbzipCLine64,1.67965,0.014798,0.000077,0.282163
specbzipCLine128,1.666573,0.014359,0.000067,0.173845
specbzipCLine256,1.661958,0.015258,0.000063,0.108546
specbzip16_32,1.740591,0.021788,0.000078,0.186916
specbzip32_64,1.789995,0.017931,0.000072,0.316786
specbzip64_128,1.710524,0.014796,0.00007,0.318631
specbzip128_256,1.650385,0.011747,0.00007,0.363134
specbzip256,1.865692,0.014778,0.000077,0.512998
specbzip512,1.762777,0.014788,0.000077,0.389457
specbzip1024,1.71052,0.014796,0.000077,0.318634
specbzip2048,1.67965,0.014798,0.000077,0.282163
specbzip4096,1.653848,0.014796,0.000077,0.251734
specbzip32_64_512,1.789995,0.017931,0.000072,0.316786
specbzip64_128_1024,1.710524,0.014796,0.00007,0.318631
specbzip128_256_2048,1.650385,0.011747,0.00007,0.363134
,,,,
spechmmer,1.187975,0.001637,0.000221,0.078596
spechmmerAsoc1,1.184809,0.001656,0.000088,0.079054
spechmmerAsoc2,1.185304,0.001629,0.000221,0.077747
spechmmerAsoc4,1.184928,0.00158,0.000143,0.081852
spechmmerAsoc8,1.184805,0.001622,0.000089,0.080793
spechmmerAsoc16,1.184809,0.001656,0.000088,0.079054
spechmmerCLine16,1.220304,0.006153,0.000206,0.077133
spechmmerCLine32,1.196843,0.003134,0.00019,0.078314
spechmmerCLine64,1.187917,0.001637,0.000221,0.07776
spechmmerCLine128,1.181978,0.000881,0.000345,0.072025
spechmmerCLine256,1.179864,0.000544,0.000468,0.056276
spechmmer16_32,1.193617,0.002667,0.000223,0.047802
spechmmer32_64,1.19115,0.00236,0.000087,0.055383
spechmmer64_128,1.187649,0.001638,0.000079,0.080654
spechmmer128_256,1.185839,0.000702,0.000078,0.195036
spechmmer256,1.187975,0.001637,0.000221,0.078596
spechmmer512,1.187917,0.001637,0.000221,0.07776
spechmmer1024,1.187917,0.001637,0.000221,0.07776
spechmmer2048,1.187917,0.001637,0.000221,0.07776
spechmmer4096,1.187917,0.001637,0.000221,0.07776
spechmmer32_64_512,1.19115,0.00236,0.000087,0.055383
spechmmer64_128_1024,1.187649,0.001638,0.000079,0.080654
spechmmer128_256_2048,1.185839,0.000702,0.000078,0.195036
,,,,
speclibm,3.493415,0.060972,0.000094,0.999944
speclibmAsoc1,3.511613,0.061561,0.000122,0.986495
speclibmAsoc2,3.493415,0.060972,0.000094,0.999944
speclibmAsoc4,3.493293,0.060972,0.000087,0.999974
speclibmAsoc8,3.493293,0.060972,0.000085,0.999979
speclibmAsoc16,3.493293,0.060972,0.000085,0.99998
speclibmCLine16,9.801234,0.243877,0.000075,0.99999
speclibmCLine32,5.607827,0.12194,0.000085,0.999979
speclibmCLine64,3.493415,0.060972,0.000094,0.999944
speclibmCLine128,2.581299,0.030487,0.000112,0.999799
speclibmCLine256,1.990648,0.015244,0.000134,0.999474
speclibm16_32,3.493415,0.060972,0.000094,0.999936
speclibm32_64,3.507046,0.060972,0.000088,0.999965
speclibm64_128,3.505956,0.060972,0.000085,0.999981
speclibm128_256,3.493293,0.060972,0.000085,0.999981
speclibm256,3.496359,0.060972,0.000094,0.999944
speclibm512,3.507046,0.060972,0.000094,0.999944
speclibm1024,3.495444,0.060972,0.000094,0.999944
speclibm2048,3.493415,0.060972,0.000094,0.999944
speclibm4096,3.489639,0.060972,0.000094,0.999944
speclibm32_64_512,3.507046,0.060972,0.000088,0.999965
speclibm64_128_1024,3.505956,0.060972,0.000085,0.999981
speclibm128_256_2048,3.493293,0.060972,0.000085,0.999981
,,,,
specmcf,1.298512,0.002108,0.023612,0.054613
specmcfAsoc1,1.138289,0.001914,0.000018,0.779054
specmcfAsoc2,1.279464,0.002108,0.023627,0.055223
specmcfAsoc4,1.1386,0.00197,0.000019,0.76036
specmcfAsoc8,1.138344,0.001932,0.000018,0.772276
specmcfAsoc16,1.138289,0.001914,0.000018,0.779054
specmcfCLine16,1.434514,0.004613,0.014546,0.208407
specmcfCLine32,1.260085,0.003208,0.013171,0.159189
specmcfCLine64,1.299095,0.002108,0.023612,0.055046
specmcfCLine128,1.330534,0.001384,0.035212,0.020416
specmcfCLine256,1.298444,0.001172,0.032583,0.011487
specmcf16_32,1.344929,0.008333,0.02353,0.042644
specmcf32_64,1.156424,0.002493,0.000018,0.609726
specmcf64_128,1.155442,0.002108,0.000018,0.711974
specmcf128_256,1.155125,0.001932,0.000018,0.776175
specmcf256,1.31097,0.002108,0.023613,0.06725
specmcf512,1.307601,0.002108,0.023612,0.06376
specmcf1024,1.30375,0.002108,0.023612,0.059346
specmcf2048,1.299095,0.002108,0.023612,0.055046
specmcf4096,1.298512,0.002108,0.023612,0.054613
specmcf32_64_512,1.16579,0.002493,0.000018,0.705985
specmcf64_128_1024,1.160209,0.002108,0.000018,0.767622
specmcf128_256_2048,1.155125,0.001932,0.000018,0.776175
,,,,
specsjeng,10.270464,0.121831,0.000019,0.999983
specsjengAsoc1,10.289707,0.122393,0.000022,0.990839
specsjengAsoc2,10.27014,0.121831,0.00002,0.999972
specsjengAsoc4,10.270271,0.121831,0.00002,0.999982
specsjengAsoc8,10.270699,0.121831,0.000019,0.999984
specsjengAsoc16,10.270913,0.121831,0.000019,0.999984
specsjengCLine16,33.485823,0.487302,0.000029,0.999994
specsjengCLine32,17.653706,0.243654,0.000023,0.999988
specsjengCLine64,10.270554,0.121831,0.00002,0.999972
specsjengCLine128,6.799471,0.060922,0.000015,0.999825
specsjengCLine256,5.175719,0.030472,0.000011,0.999168
specsjeng16_32,10.270793,0.121835,0.00002,0.99991
specsjeng32_64,10.270837,0.121833,0.000019,0.999955
specsjeng64_128,10.270481,0.121831,0.000019,0.999979
specsjeng128_256,10.270464,0.121831,0.000019,0.999983
specsjeng256,10.274134,0.121831,0.00002,0.999972
specsjeng512,10.27298,0.121831,0.00002,0.999972
specsjeng1024,10.273271,0.121831,0.00002,0.999972
specsjeng2048,10.270554,0.121831,0.00002,0.999972
specsjeng4096,10.265417,0.121831,0.00002,0.999972
specsjeng32_64_512,10.272902,0.121833,0.000019,0.999955
specsjeng64_128_1024,10.273335,0.121831,0.000019,0.999979
specsjeng128_256_2048,10.270464,0.121831,0.000019,0.999983
