Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip	1.852581	0.018283	0.000087	0.427357
specbzipassoc1	1.658991	0.017745	0.000090	0.257864
specbzipassoc2	1.615363	0.014671	0.000077	0.292734
specbzipassoc4	1.594403	0.013208	0.000070	0.315944
specbzipassoc8	1.588833	0.012613	0.000070	0.332254
specbzipassoc16	1.586315	0.012280	0.000070	0.343324
specbzipCLine16	2.111404	0.024050	0.000097	0.584866
specbzipCLine32	1.852581	0.018283	0.000087	0.427357
specbzipCLine64	1.679650	0.014798	0.000077	0.282163
specbzipCLine128	1.666573	0.014359	0.000067	0.173845
specbzipCLine256	1.661958	0.015258	0.000063	0.108546
specbzip16_32	1.740591	0.021788	0.000078	0.186916
specbzip32_64	1.789995	0.017931	0.000072	0.316786
specbzip64_128	1.710524	0.014796	0.000070	0.318631
specbzip128_256	1.650385	0.011747	0.000070	0.363134
specbzip256	1.865692	0.014778	0.000077	0.512998
specbzip512	1.762777	0.014788	0.000077	0.389457
specbzip1024	1.710520	0.014796	0.000077	0.318634
specbzip2048	1.679650	0.014798	0.000077	0.282163
specbzip4096	1.653848	0.014796	0.000077	0.251734
specbzip32_64_512	1.789995	0.017931	0.000072	0.316786
specbzip64_128_1024	1.710524	0.014796	0.000070	0.318631
specbzip128_256_2048	1.650385	0.011747	0.000070	0.363134
