Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer	1.187975	0.001637	0.000221	0.078596
spechmmerAsoc1	1.184809	0.001656	0.000088	0.079054
spechmmerAsoc2	1.185304	0.001629	0.000221	0.077747
spechmmerAsoc4	1.184928	0.001580	0.000143	0.081852
spechmmerAsoc8	1.184805	0.001622	0.000089	0.080793
spechmmerAsoc16	1.184809	0.001656	0.000088	0.079054
spechmmerCLine16	1.220304	0.006153	0.000206	0.077133
spechmmerCLine32	1.196843	0.003134	0.000190	0.078314
spechmmerCLine64	1.187917	0.001637	0.000221	0.077760
spechmmerCLine128	1.181978	0.000881	0.000345	0.072025
spechmmerCLine256	1.179864	0.000544	0.000468	0.056276
spechmmer16_32	1.193617	0.002667	0.000223	0.047802
spechmmer32_64	1.191150	0.002360	0.000087	0.055383
spechmmer64_128	1.187649	0.001638	0.000079	0.080654
spechmmer128_256	1.185839	0.000702	0.000078	0.195036
spechmmer256	1.187975	0.001637	0.000221	0.078596
spechmmer512	1.187917	0.001637	0.000221	0.077760
spechmmer1024	1.187917	0.001637	0.000221	0.077760
spechmmer2048	1.187917	0.001637	0.000221	0.077760
spechmmer4096	1.187917	0.001637	0.000221	0.077760
spechmmer32_64_512	1.191150	0.002360	0.000087	0.055383
spechmmer64_128_1024	1.187649	0.001638	0.000079	0.080654
spechmmer128_256_2048	1.185839	0.000702	0.000078	0.195036
