Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm	3.493415	0.060972	0.000094	0.999944
speclibmAsoc1	3.511613	0.061561	0.000122	0.986495
speclibmAsoc2	3.493415	0.060972	0.000094	0.999944
speclibmAsoc4	3.493293	0.060972	0.000087	0.999974
speclibmAsoc8	3.493293	0.060972	0.000085	0.999979
speclibmAsoc16	3.493293	0.060972	0.000085	0.999980
speclibmCLine16	9.801234	0.243877	0.000075	0.999990
speclibmCLine32	5.607827	0.121940	0.000085	0.999979
speclibmCLine64	3.493415	0.060972	0.000094	0.999944
speclibmCLine128	2.581299	0.030487	0.000112	0.999799
speclibmCLine256	1.990648	0.015244	0.000134	0.999474
speclibm16_32	3.493415	0.060972	0.000094	0.999936
speclibm32_64	3.507046	0.060972	0.000088	0.999965
speclibm64_128	3.505956	0.060972	0.000085	0.999981
speclibm128_256	3.493293	0.060972	0.000085	0.999981
speclibm256	3.496359	0.060972	0.000094	0.999944
speclibm512	3.507046	0.060972	0.000094	0.999944
speclibm1024	3.495444	0.060972	0.000094	0.999944
speclibm2048	3.493415	0.060972	0.000094	0.999944
speclibm4096	3.489639	0.060972	0.000094	0.999944
speclibm32_64_512	3.507046	0.060972	0.000088	0.999965
speclibm64_128_1024	3.505956	0.060972	0.000085	0.999981
speclibm128_256_2048	3.493293	0.060972	0.000085	0.999981
