Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf	1.298512	0.002108	0.023612	0.054613
specmcfAsoc1	1.138289	0.001914	0.000018	0.779054
specmcfAsoc2	1.279464	0.002108	0.023627	0.055223
specmcfAsoc4	1.138600	0.001970	0.000019	0.760360
specmcfAsoc8	1.138344	0.001932	0.000018	0.772276
specmcfAsoc16	1.138289	0.001914	0.000018	0.779054
specmcfCLine16	1.434514	0.004613	0.014546	0.208407
specmcfCLine32	1.260085	0.003208	0.013171	0.159189
specmcfCLine64	1.299095	0.002108	0.023612	0.055046
specmcfCLine128	1.330534	0.001384	0.035212	0.020416
specmcfCLine256	1.298444	0.001172	0.032583	0.011487
specmcf16_32	1.344929	0.008333	0.023530	0.042644
specmcf32_64	1.156424	0.002493	0.000018	0.609726
specmcf64_128	1.155442	0.002108	0.000018	0.711974
specmcf128_256	1.155125	0.001932	0.000018	0.776175
specmcf256	1.310970	0.002108	0.023613	0.067250
specmcf512	1.307601	0.002108	0.023612	0.063760
specmcf1024	1.303750	0.002108	0.023612	0.059346
specmcf2048	1.299095	0.002108	0.023612	0.055046
specmcf4096	1.298512	0.002108	0.023612	0.054613
specmcf32_64_512	1.165790	0.002493	0.000018	0.705985
specmcf64_128_1024	1.160209	0.002108	0.000018	0.767622
specmcf128_256_2048	1.155125	0.001932	0.000018	0.776175
