Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng	10.270464	0.121831	0.000019	0.999983
specsjengAsoc1	10.289707	0.122393	0.000022	0.990839
specsjengAsoc2	10.270140	0.121831	0.000020	0.999972
specsjengAsoc4	10.270271	0.121831	0.000020	0.999982
specsjengAsoc8	10.270699	0.121831	0.000019	0.999984
specsjengAsoc16	10.270913	0.121831	0.000019	0.999984
specsjengCLine16	33.485823	0.487302	0.000029	0.999994
specsjengCLine32	17.653706	0.243654	0.000023	0.999988
specsjengCLine64	10.270554	0.121831	0.000020	0.999972
specsjengCLine128	6.799471	0.060922	0.000015	0.999825
specsjengCLine256	5.175719	0.030472	0.000011	0.999168
specsjeng16_32	10.270793	0.121835	0.000020	0.999910
specsjeng32_64	10.270837	0.121833	0.000019	0.999955
specsjeng64_128	10.270481	0.121831	0.000019	0.999979
specsjeng128_256	10.270464	0.121831	0.000019	0.999983
specsjeng256	10.274134	0.121831	0.000020	0.999972
specsjeng512	10.272980	0.121831	0.000020	0.999972
specsjeng1024	10.273271	0.121831	0.000020	0.999972
specsjeng2048	10.270554	0.121831	0.000020	0.999972
specsjeng4096	10.265417	0.121831	0.000020	0.999972
specsjeng32_64_512	10.272902	0.121833	0.000019	0.999955
specsjeng64_128_1024	10.273335	0.121831	0.000019	0.999979
specsjeng128_256_2048	10.270464	0.121831	0.000019	0.999983
